date,subsite,time,age,count,year
2010-05-15T00:00:00Z,BL,10:35:00,adult,161,2010
2010-05-15T00:00:00Z,BL,10:35:00,pup,69,2010
2010-05-18T00:00:00Z,DE,12:15:00,adult,330,2010
2010-05-18T00:00:00Z,DE,12:15:00,pup,114,2010
2010-05-19T00:00:00Z,DP,10:25:00,adult,199,2010
2010-05-19T00:00:00Z,DP,10:25:00,pup,56,2010
2010-05-20T00:00:00Z,DE,11:30:00,adult,373,2010
2010-05-20T00:00:00Z,DE,11:30:00,pup,133,2010
2010-05-22T00:00:00Z,BL,14:40:00,adult,155,2010
2010-05-22T00:00:00Z,BL,14:40:00,pup,31,2010
2010-05-22T00:00:00Z,DP,14:33:00,adult,280,2010
2010-05-22T00:00:00Z,DP,14:33:00,pup,69,2010
2010-05-23T00:00:00Z,DP,11:15:00,adult,317,2010
2010-05-23T00:00:00Z,DP,11:15:00,pup,37,2010
2010-05-28T00:00:00Z,BL,10:15:00,adult,86,2010
2010-05-28T00:00:00Z,BL,10:15:00,pup,33,2010
2010-05-28T00:00:00Z,DE,10:10:00,adult,310,2010
2010-05-28T00:00:00Z,DE,10:10:00,pup,60,2010
2010-05-29T00:00:00Z,DP,11:30:00,adult,247,2010
2010-05-29T00:00:00Z,DP,11:30:00,pup,31,2010
2010-05-31T00:00:00Z,BL,10:45:00,adult,74,2010
2010-05-31T00:00:00Z,BL,10:45:00,pup,44,2010
2011-03-03T00:00:00Z,BL,16:55:00,adult,120,2011
2011-03-10T00:00:00Z,DP,11:00:00,adult,4,2011
2011-03-11T00:00:00Z,BL,12:00:00,adult,202,2011
2011-03-12T00:00:00Z,DE,14:10:00,adult,196,2011
2011-03-14T00:00:00Z,BL,14:40:00,adult,150,2011
2011-03-16T00:00:00Z,DE,15:40:00,adult,252,2011
2011-03-16T00:00:00Z,DE,15:40:00,pup,1,2011
2011-03-16T00:00:00Z,DP,15:00:00,adult,191,2011
2011-03-18T00:00:00Z,BL,16:15:00,adult,87,2011
2011-03-22T00:00:00Z,DE,10:30:00,adult,252,2011
2011-03-25T00:00:00Z,BL,13:05:00,adult,136,2011
2011-03-26T00:00:00Z,DP,12:30:00,adult,176,2011
2011-03-28T00:00:00Z,BL,14:55:00,adult,193,2011
2011-03-28T00:00:00Z,BL,14:55:00,pup,1,2011
2011-03-28T00:00:00Z,DE,14:30:00,adult,260,2011
2011-03-28T00:00:00Z,DE,14:30:00,pup,5,2011
2011-03-31T00:00:00Z,BL,17:55:00,adult,175,2011
2011-03-31T00:00:00Z,BL,17:55:00,pup,2,2011
2011-03-31T00:00:00Z,DP,15:30:00,adult,247,2011
2011-03-31T00:00:00Z,DP,15:30:00,pup,13,2011
2011-04-02T00:00:00Z,DP,17:30:00,adult,273,2011
2011-04-02T00:00:00Z,DP,17:30:00,pup,14,2011
2011-04-06T00:00:00Z,DE,10:40:00,adult,192,2011
2011-04-06T00:00:00Z,DE,10:40:00,pup,17,2011
2011-04-07T00:00:00Z,BL,10:15:00,adult,98,2011
2011-04-07T00:00:00Z,BL,10:15:00,pup,19,2011
2011-04-09T00:00:00Z,DE,12:55:00,adult,314,2011
2011-04-09T00:00:00Z,DE,12:55:00,pup,27,2011
2011-04-09T00:00:00Z,DP,11:30:00,adult,261,2011
2011-04-09T00:00:00Z,DP,11:30:00,pup,56,2011
2011-04-10T00:00:00Z,BL,12:40:00,adult,121,2011
2011-04-10T00:00:00Z,BL,12:40:00,pup,30,2011
2011-04-10T00:00:00Z,DE,12:00:00,adult,295,2011
2011-04-10T00:00:00Z,DE,12:00:00,pup,55,2011
2011-04-10T00:00:00Z,DP,15:05:00,adult,273,2011
2011-04-10T00:00:00Z,DP,15:05:00,pup,85,2011
2011-04-11T00:00:00Z,BL,13:30:00,adult,166,2011
2011-04-11T00:00:00Z,BL,13:30:00,pup,51,2011
2011-04-13T00:00:00Z,DE,15:00:00,adult,361,2011
2011-04-13T00:00:00Z,DE,15:00:00,pup,86,2011
2011-04-19T00:00:00Z,BL,10:00:00,adult,227,2011
2011-04-19T00:00:00Z,BL,10:00:00,pup,92,2011
2011-04-21T00:00:00Z,DP,12:10:00,adult,443,2011
2011-04-21T00:00:00Z,DP,12:10:00,pup,288,2011
2011-04-22T00:00:00Z,BL,10:45:00,adult,245,2011
2011-04-22T00:00:00Z,BL,10:45:00,pup,119,2011
2011-04-23T00:00:00Z,DP,13:15:00,adult,406,2011
2011-04-23T00:00:00Z,DP,13:15:00,pup,231,2011
2011-04-24T00:00:00Z,DE,13:23:00,adult,563,2011
2011-04-24T00:00:00Z,DE,13:23:00,pup,310,2011
2011-04-26T00:00:00Z,BL,13:30:00,adult,296,2011
2011-04-26T00:00:00Z,BL,13:30:00,pup,99,2011
2011-04-26T00:00:00Z,DE,14:10:00,adult,583,2011
2011-04-26T00:00:00Z,DE,14:10:00,pup,270,2011
2011-04-28T00:00:00Z,DE,15:40:00,adult,715,2011
2011-04-28T00:00:00Z,DE,15:40:00,pup,364,2011
2011-04-28T00:00:00Z,DP,14:10:00,adult,587,2011
2011-04-28T00:00:00Z,DP,14:10:00,pup,406,2011
2011-04-29T00:00:00Z,BL,16:05:00,adult,379,2011
2011-04-29T00:00:00Z,BL,16:05:00,pup,130,2011
2011-05-03T00:00:00Z,DE,09:20:00,adult,504,2011
2011-05-03T00:00:00Z,DE,09:20:00,pup,301,2011
2011-05-05T00:00:00Z,BL,09:45:00,adult,219,2011
2011-05-05T00:00:00Z,BL,09:45:00,pup,112,2011
2011-05-05T00:00:00Z,DE,09:55:00,adult,595,2011
2011-05-05T00:00:00Z,DE,09:55:00,pup,335,2011
2011-05-05T00:00:00Z,DP,11:30:00,adult,282,2011
2011-05-05T00:00:00Z,DP,11:30:00,pup,252,2011
2011-05-06T00:00:00Z,BL,09:25:00,adult,248,2011
2011-05-06T00:00:00Z,BL,09:25:00,pup,192,2011
2011-05-09T00:00:00Z,DE,10:05:00,adult,569,2011
2011-05-09T00:00:00Z,DE,10:05:00,pup,323,2011
2011-05-11T00:00:00Z,BL,14:00:00,adult,284,2011
2011-05-11T00:00:00Z,BL,14:00:00,pup,146,2011
2011-05-11T00:00:00Z,DE,13:05:00,adult,553,2011
2011-05-11T00:00:00Z,DE,13:05:00,pup,278,2011
2011-05-13T00:00:00Z,BL,15:15:00,adult,298,2011
2011-05-13T00:00:00Z,BL,15:15:00,pup,138,2011
2011-05-14T00:00:00Z,DE,15:55:00,adult,365,2011
2011-05-14T00:00:00Z,DE,15:55:00,pup,174,2011
2011-05-14T00:00:00Z,DP,14:30:00,adult,552,2011
2011-05-14T00:00:00Z,DP,14:30:00,pup,194,2011
2011-05-16T00:00:00Z,BL,08:15:00,adult,222,2011
2011-05-16T00:00:00Z,BL,08:15:00,pup,81,2011
2011-05-19T00:00:00Z,BL,09:55:00,adult,167,2011
2011-05-19T00:00:00Z,BL,09:55:00,pup,94,2011
2011-05-20T00:00:00Z,DE,09:15:00,adult,459,2011
2011-05-20T00:00:00Z,DE,09:15:00,pup,219,2011
2011-05-20T00:00:00Z,DP,11:30:00,adult,415,2011
2011-05-20T00:00:00Z,DP,11:30:00,pup,98,2011
2011-05-21T00:00:00Z,DE,10:23:00,adult,309,2011
2011-05-21T00:00:00Z,DE,10:23:00,pup,177,2011
2011-05-22T00:00:00Z,DP,12:30:00,adult,325,2011
2011-05-22T00:00:00Z,DP,12:30:00,pup,55,2011
2011-05-23T00:00:00Z,DE,11:10:00,adult,291,2011
2011-05-23T00:00:00Z,DE,11:10:00,pup,134,2011
2011-05-23T00:00:00Z,DP,11:00:00,adult,315,2011
2011-05-23T00:00:00Z,DP,11:00:00,pup,98,2011
2011-05-26T00:00:00Z,DE,13:25:00,adult,212,2011
2011-05-26T00:00:00Z,DE,13:25:00,pup,78,2011
2011-05-27T00:00:00Z,BL,14:48:00,adult,140,2011
2011-05-27T00:00:00Z,BL,14:48:00,pup,61,2011
2011-05-27T00:00:00Z,DE,16:00:00,adult,352,2011
2011-05-27T00:00:00Z,DE,16:00:00,pup,75,2011
2012-03-02T00:00:00Z,BL,14:40:00,adult,93,2012
2012-03-02T00:00:00Z,DE,12:55:00,adult,233,2012
2012-03-05T00:00:00Z,DP,14:27:00,adult,171,2012
2012-03-05T00:00:00Z,DP,14:27:00,pup,1,2012
2012-03-07T00:00:00Z,BL,15:45:00,adult,112,2012
2012-03-08T00:00:00Z,DE,16:25:00,adult,146,2012
2012-03-14T00:00:00Z,BL,14:15:00,adult,11,2012
2012-03-17T00:00:00Z,BL,15:30:00,adult,137,2012
2012-03-19T00:00:00Z,DE,15:55:00,adult,212,2012
2012-03-19T00:00:00Z,DE,15:55:00,pup,1,2012
2012-03-20T00:00:00Z,DP,15:05:00,adult,219,2012
2012-03-26T00:00:00Z,DE,11:00:00,adult,246,2012
2012-03-26T00:00:00Z,DE,11:00:00,pup,4,2012
2012-03-29T00:00:00Z,BL,14:00:00,adult,149,2012
2012-03-29T00:00:00Z,BL,14:00:00,pup,2,2012
2012-03-30T00:00:00Z,BL,14:00:00,adult,149,2012
2012-03-30T00:00:00Z,BL,14:00:00,pup,6,2012
2012-04-01T00:00:00Z,DE,14:15:00,adult,273,2012
2012-04-01T00:00:00Z,DE,14:15:00,pup,4,2012
2012-04-02T00:00:00Z,BL,16:15:00,adult,246,2012
2012-04-02T00:00:00Z,BL,16:15:00,pup,5,2012
2012-04-03T00:00:00Z,DE,16:15:00,adult,342,2012
2012-04-03T00:00:00Z,DE,16:15:00,pup,17,2012
2012-04-04T00:00:00Z,BL,16:55:00,adult,175,2012
2012-04-04T00:00:00Z,BL,16:55:00,pup,14,2012
2012-04-09T00:00:00Z,DE,10:20:00,adult,292,2012
2012-04-09T00:00:00Z,DE,10:20:00,pup,35,2012
2012-04-09T00:00:00Z,DP,12:15:00,adult,264,2012
2012-04-09T00:00:00Z,DP,12:15:00,pup,62,2012
2012-04-12T00:00:00Z,BL,13:37:00,adult,290,2012
2012-04-12T00:00:00Z,BL,13:37:00,pup,63,2012
2012-04-12T00:00:00Z,DE,12:20:00,adult,515,2012
2012-04-12T00:00:00Z,DE,12:20:00,pup,110,2012
2012-04-14T00:00:00Z,BL,15:15:00,adult,307,2012
2012-04-14T00:00:00Z,BL,15:15:00,pup,136,2012
2012-04-14T00:00:00Z,DP,13:30:00,adult,438,2012
2012-04-14T00:00:00Z,DP,13:30:00,pup,161,2012
2012-04-15T00:00:00Z,DE,13:45:00,adult,484,2012
2012-04-15T00:00:00Z,DE,13:45:00,pup,144,2012
2012-04-16T00:00:00Z,BL,15:55:00,adult,333,2012
2012-04-16T00:00:00Z,BL,15:55:00,pup,135,2012
2012-04-16T00:00:00Z,DP,12:30:00,adult,500,2012
2012-04-16T00:00:00Z,DP,12:30:00,pup,221,2012
2012-04-18T00:00:00Z,BL,14:25:00,adult,305,2012
2012-04-18T00:00:00Z,BL,14:25:00,pup,150,2012
2012-04-21T00:00:00Z,DE,09:39:00,adult,477,2012
2012-04-21T00:00:00Z,DE,09:39:00,pup,285,2012
2012-04-24T00:00:00Z,DE,10:25:00,adult,624,2012
2012-04-24T00:00:00Z,DE,10:25:00,pup,289,2012
2012-04-25T00:00:00Z,BL,10:40:00,adult,309,2012
2012-04-25T00:00:00Z,BL,10:40:00,pup,230,2012
2012-04-27T00:00:00Z,BL,12:15:00,adult,312,2012
2012-04-27T00:00:00Z,BL,12:15:00,pup,189,2012
2012-04-28T00:00:00Z,DP,12:00:00,adult,544,2012
2012-04-28T00:00:00Z,DP,12:00:00,pup,250,2012
2012-04-29T00:00:00Z,DE,14:00:00,adult,635,2012
2012-04-29T00:00:00Z,DE,14:00:00,pup,314,2012
2012-04-30T00:00:00Z,BL,16:00:00,adult,294,2012
2012-04-30T00:00:00Z,BL,16:00:00,pup,191,2012
2012-05-01T00:00:00Z,DP,13:15:00,adult,466,2012
2012-05-01T00:00:00Z,DP,13:15:00,pup,273,2012
